trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,10,13.208625322733763,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,0,-24.13904229941984,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,15.151504167014464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",25,14,17.9253592516313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,13,5.693935959069138,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",25,4,-20.15218938129005,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",20,0,-68.7102444270477,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",25,13,-30.910689460834647,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",25,5,-20.905125719521457,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",25,0,7.028547873962992,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",30,14,-8.067143531511007,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",25,11,-26.309830532591945,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",30,14,9.451951718395751,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",30,13,16.676639739016604,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",35,17,-111.9030676604664,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,11,-39.034879267163355,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",20,11,-17.79249550207063,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,0,4.409399857040079,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",30,0,-0.2669811721100983,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,16,-1.6795150154208476,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",20,12,-5.091140945403126,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",20,7,7.2006290505533475,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,0,21.266484244118537,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.358748297681892}",25,0,-34.337752309626374,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",20,10,18.965757387041656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",25,14,12.063250815028477,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",30,15,-4.1502434245573365,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",20,14,3.196920973795387,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,0,-42.8160754039837,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,13,-1.581444216919551,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,13,19.433691511912198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,13,17.16616618242694,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,3,-36.253077959947674,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,11,-4.927571912729615,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,7,15.97191494379908,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
